Amino_acid,3letter_code,1letter_code,mol_wt(g/mol)
Alanine,Ala,A,89.09
Arginine,Arg,R,174.2
Asparagine,Asn,N,132.12
Aspartate,Asp,D,133.1
Cysteine,Cys,C,121.15
Glutamate,Glu,E,147.13
Glutamine,Gln,Q,146.15
Glycine,Gly,G,75.07
Histidine,His,H,155.16
Isoleucine,Ile,I,131.17
Leucine,Leu,L,131.17
Lysine,Lys,K,146.19
Methionine,Met,M,149.21
Phenylalanine,Phe,F,165.19
Proline,Pro,P,115.13
Serine,Ser,S,105.09
Threonine,Thr,T,119.12
Tryptophan,Trp,W,204.23
Tyrosine,Tyr,Y,181.19
Valine,Val,V,117.15
,Asx,B,132.61
,Glx,Z,146.64
Selenocysteine,,U,168.07
,,X,128.16
